id,name,host_id,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,number_of_reviews_ltm,license
44077,cosy comfortable Irish cottage twin,193005,Dn Laoghaire-Rathdown,Private room,Ä61,3,364,24/11/2024,2.18,33,42,
85156,Cosy Comfortable Irish Cottage  1 Double Bed,193005,Dn Laoghaire-Rathdown,Private room,Ä61,3,326,25/11/2024,1.97,40,41,
159889,Friendly Single Room,766611,Dublin City,Private room,Ä55,2,445,30/09/2024,2.87,342,31,
162809,5.5 miles south of Dublin City :^),777681,Dn Laoghaire-Rathdown,Private room,Ä88,2,390,06/10/2024,3.36,7,19,
165828,P√°draig Pearse apt. Kilmainham,790601,Dublin City,Entire home,Ä157,3,77,04/11/2024,0.48,120,2,
165829,"The ""Michael Collins"" apartment",790601,Dublin City,Entire home,Ä170,3,84,02/11/2024,0.54,112,5,
237465,Cozy 1 bed apt 10 mins to airport. total privacy,1245198,Dublin City,Entire home,Ä69,1,554,04/11/2024,3.51,163,64,
245903,Single cosy bedroom in Lucan.,1289720,South Dublin,Private room,Ä30,30,48,30/11/2024,0.32,13,4,
292757,Old World Converted Stables with Swimming Pool.,1515549,Dublin City,Entire home,Ä130,2,471,26/11/2024,3.15,84,41,
302554,Peaceful retreat for 5 - excellent location,1557844,Dublin City,Entire home,Ä203,2,76,20/06/2024,0.49,217,7,
302634,Studio sleeps 2 city ctr 10 mins - Molly Malone,1557844,Dublin City,Entire home,Ä93,2,163,02/12/2024,1.05,167,23,
365854,Boutique Centre 1BR w. Free Wifi,1847391,Dublin City,Entire home,Ä85,2,190,20/11/2024,1.23,79,2,
374792,"'Grace Gifford' cottage, Kilmainham",790601,Dublin City,Entire home,Ä184,3,36,03/05/2024,0.24,187,1,
380174,‚òÖSeaside Modern ‚òÖ Walk Everywhere | Luxury Complex,1907867,Dn Laoghaire-Rathdown,Entire home,Ä140,31,11,10/09/2018,0.1,134,0,
419987,Stunning Victorian apartment slps 6 - James Joyce,1557844,Dublin City,Entire home,Ä203,2,173,04/11/2024,1.17,193,7,
424596,Very Special Oval Georgian Studio,2110301,Dublin City,Entire home,Ä146,2,649,18/11/2024,4.27,157,44,
426326,Large room with double & single Bed,766611,Dublin City,Private room,Ä125,3,268,18/08/2024,1.77,29,4,
427077,Unique Oval Georgian Studio Gr. Fl.,2110301,Dublin City,Entire home,Ä144,2,605,24/11/2024,3.94,161,37,
